년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2026년,01월,AAL,AA,아메리칸항공,국제,미주,미국,DFW,도착,정기,여객,21 ,4108 ,16 ,681 ,11848 ,0 ,1632 ,115880 
2026년,01월,AAL,AA,아메리칸항공,국제,미주,미국,DFW,출발,정기,여객,21 ,3788 ,14 ,1862 ,173237 ,0 ,14917 ,133829 
2026년,01월,AAL,AA,아메리칸항공,국제,미주,미국,LAS,도착,정기,여객,3 ,552 ,0 ,11 ,1398 ,0 ,0 ,10980 
2026년,01월,AAL,AA,아메리칸항공,국제,미주,미국,LAS,출발,정기,여객,3 ,648 ,0 ,164 ,22933 ,0 ,2545 ,15875 
2026년,01월,AAR,OZ,아시아나항공,국내,한국,한국,CJU,도착,부정기,여객,1 ,251 ,0 ,0 ,0 ,0 ,0 ,1292 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,CTS,도착,정기,여객,31 ,7740 ,18 ,432 ,0 ,0 ,0 ,118825 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,CTS,도착,부정기,여객,18 ,3222 ,3 ,28 ,0 ,0 ,0 ,44325 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,CTS,출발,정기,여객,31 ,7461 ,15 ,266 ,0 ,0 ,0 ,90855 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,CTS,출발,부정기,여객,18 ,3122 ,2 ,8 ,0 ,0 ,0 ,34902 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,FUK,도착,정기,여객,31 ,8124 ,114 ,507 ,42734 ,18549 ,0 ,112041 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,FUK,출발,정기,여객,31 ,8362 ,107 ,336 ,3781 ,46801 ,4524 ,91406 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,HND,도착,정기,여객,31 ,6591 ,7 ,1792 ,16628 ,0 ,0 ,105243 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,HND,출발,정기,여객,31 ,6910 ,19 ,1657 ,5176 ,31361 ,7816 ,108587 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,KIX,도착,정기,여객,93 ,14948 ,56 ,2304 ,17813 ,6967 ,0 ,217269 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,KIX,출발,정기,여객,93 ,16285 ,56 ,2058 ,51080 ,48424 ,34335 ,212357 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,KMI,도착,정기,여객,31 ,4192 ,13 ,103 ,0 ,0 ,0 ,79491 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,KMI,출발,정기,여객,31 ,4852 ,11 ,106 ,0 ,0 ,0 ,91544 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,NGO,도착,정기,여객,62 ,9029 ,38 ,767 ,210 ,83 ,0 ,126516 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,NGO,출발,정기,여객,62 ,9987 ,42 ,894 ,4166 ,7640 ,10743 ,126723 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,NRT,도착,정기,여객,91 ,19383 ,89 ,4075 ,299270 ,87680 ,0 ,326629 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,NRT,출발,정기,여객,91 ,22016 ,82 ,2605 ,164369 ,391208 ,27246 ,305124 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,OKA,도착,정기,여객,31 ,6900 ,165 ,470 ,0 ,0 ,0 ,104944 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,OKA,출발,정기,여객,31 ,7100 ,158 ,373 ,1168 ,24559 ,0 ,89955 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,SDJ,도착,정기,여객,20 ,2838 ,22 ,261 ,4 ,0 ,0 ,41431 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,SDJ,출발,정기,여객,20 ,2965 ,8 ,296 ,55 ,0 ,0 ,44541 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,UBJ,도착,부정기,여객,5 ,781 ,0 ,0 ,0 ,0 ,0 ,7108 
2026년,01월,AAR,OZ,아시아나항공,국제,일본,일본,UBJ,출발,부정기,여객,5 ,907 ,0 ,0 ,0 ,0 ,0 ,6142 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CAN,도착,정기,여객,62 ,11434 ,10 ,2155 ,174968 ,79466 ,13610 ,240697 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CAN,출발,정기,여객,62 ,11843 ,18 ,2181 ,63244 ,22480 ,0 ,234284 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CGQ,도착,정기,여객,18 ,2315 ,10 ,608 ,0 ,5400 ,518 ,45742 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CGQ,출발,정기,여객,18 ,2668 ,10 ,267 ,391 ,0 ,0 ,43595 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CSX,도착,정기,여객,18 ,2354 ,1 ,214 ,75 ,0 ,25178 ,33107 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,CSX,출발,정기,여객,18 ,2542 ,2 ,211 ,145 ,49 ,0 ,34392 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,DLC,도착,정기,여객,31 ,7235 ,16 ,697 ,79152 ,12820 ,26907 ,94916 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,DLC,출발,정기,여객,31 ,5617 ,16 ,523 ,79383 ,33613 ,0 ,68629 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,HGH,도착,정기,여객,31 ,6603 ,14 ,908 ,42878 ,102499 ,1075 ,104072 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,HGH,출발,정기,여객,31 ,6761 ,15 ,431 ,5032 ,207 ,0 ,93520 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,HRB,도착,정기,여객,17 ,2465 ,4 ,474 ,0 ,1244 ,0 ,48613 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,HRB,출발,정기,여객,17 ,2731 ,12 ,304 ,679 ,0 ,0 ,48133 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,NKG,도착,정기,여객,31 ,4037 ,7 ,1046 ,2828 ,726 ,0 ,73057 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,NKG,출발,정기,여객,31 ,4784 ,17 ,351 ,848 ,6 ,0 ,72052 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,PEK,도착,정기,여객,77 ,9744 ,10 ,2940 ,10546 ,9982 ,9032 ,195785 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,PEK,출발,정기,여객,77 ,11771 ,14 ,1633 ,8157 ,473 ,1531 ,206886 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,PVG,도착,정기,여객,123 ,22547 ,44 ,4231 ,247428 ,183069 ,0 ,364864 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,PVG,출발,정기,여객,123 ,22800 ,40 ,2604 ,141358 ,165179 ,0 ,320757 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,SZX,도착,정기,여객,31 ,7284 ,15 ,662 ,170055 ,194958 ,12232 ,104567 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,SZX,출발,정기,여객,31 ,8201 ,16 ,480 ,115347 ,8451 ,0 ,106610 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,TSN,도착,정기,여객,31 ,4294 ,3 ,520 ,1492 ,13198 ,0 ,59880 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,TSN,출발,정기,여객,31 ,3579 ,5 ,477 ,847 ,5352 ,0 ,51678 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,XIY,도착,정기,여객,22 ,2530 ,5 ,521 ,0 ,8679 ,0 ,41579 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,XIY,출발,정기,여객,22 ,2361 ,3 ,218 ,1151 ,5535 ,0 ,30159 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,YNJ,도착,정기,여객,22 ,3398 ,17 ,296 ,0 ,0 ,12023 ,62919 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,YNJ,출발,정기,여객,22 ,3111 ,8 ,220 ,282 ,0 ,0 ,45142 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,YNZ,도착,정기,여객,9 ,639 ,2 ,24 ,0 ,0 ,0 ,10039 
2026년,01월,AAR,OZ,아시아나항공,국제,중국,중국,YNZ,출발,정기,여객,9 ,803 ,2 ,8 ,0 ,0 ,0 ,11770 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,대만,TPE,도착,정기,여객,62 ,19766 ,34 ,749 ,352343 ,53445 ,0 ,266159 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,대만,TPE,출발,정기,여객,62 ,19835 ,36 ,277 ,240143 ,87924 ,0 ,241057 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,도착,정기,여객,61 ,11451 ,24 ,945 ,145003 ,145521 ,0 ,160882 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,홍콩,HKG,출발,정기,여객,61 ,12401 ,34 ,1105 ,65559 ,11908 ,0 ,174813 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,몽골,UBN,도착,정기,여객,13 ,1449 ,6 ,392 ,512 ,0 ,0 ,38267 
2026년,01월,AAR,OZ,아시아나항공,국제,동북아,몽골,UBN,출발,정기,여객,13 ,1349 ,12 ,845 ,0 ,27 ,0 ,56438 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,DAD,도착,정기,여객,31 ,8033 ,26 ,478 ,100360 ,97359 ,0 ,123815 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,DAD,출발,정기,여객,31 ,8190 ,22 ,830 ,824 ,12468 ,0 ,119010 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,도착,정기,여객,59 ,15930 ,57 ,775 ,220393 ,113169 ,0 ,270227 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,도착,부정기,여객,2 ,532 ,1 ,45 ,7228 ,6002 ,0 ,10638 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,출발,정기,여객,59 ,16127 ,87 ,1660 ,66367 ,149133 ,0 ,281299 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,HAN,출발,부정기,여객,2 ,486 ,2 ,110 ,527 ,5859 ,0 ,10640 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,도착,정기,여객,61 ,7431 ,48 ,2042 ,8626 ,5724 ,0 ,198695 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,베트남,SGN,출발,정기,여객,61 ,7482 ,77 ,3116 ,211 ,250 ,0 ,251972 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,도착,정기,여객,31 ,6515 ,18 ,391 ,181660 ,95011 ,0 ,97478 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,싱가포르,SIN,출발,정기,여객,31 ,8726 ,16 ,485 ,224901 ,14530 ,0 ,146725 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,인도네시아,CGK,도착,정기,여객,31 ,6125 ,36 ,745 ,55577 ,37066 ,2338 ,115633 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,인도네시아,CGK,출발,정기,여객,31 ,7839 ,48 ,929 ,132968 ,30805 ,0 ,196123 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,캄보디아,KTI,도착,정기,여객,30 ,2832 ,28 ,846 ,10435 ,18230 ,0 ,85180 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,캄보디아,KTI,출발,정기,여객,31 ,3096 ,49 ,1179 ,124 ,74 ,0 ,101290 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,도착,정기,여객,62 ,13443 ,28 ,2771 ,210234 ,16519 ,0 ,306791 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,출발,정기,여객,62 ,14611 ,42 ,3038 ,130262 ,9658 ,0 ,338039 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,태국,HKT,도착,정기,여객,32 ,7576 ,22 ,1166 ,0 ,0 ,0 ,118462 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,태국,HKT,출발,정기,여객,31 ,7696 ,30 ,671 ,78277 ,269 ,0 ,99658 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,CEB,도착,정기,여객,31 ,3381 ,18 ,1285 ,814 ,0 ,0 ,75732 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,CEB,출발,정기,여객,31 ,4035 ,23 ,1270 ,50 ,456 ,0 ,92721 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,CRK,도착,정기,여객,31 ,3601 ,9 ,1219 ,0 ,0 ,0 ,106115 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,CRK,출발,정기,여객,31 ,4417 ,11 ,1029 ,45 ,0 ,0 ,124771 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,MNL,도착,정기,여객,62 ,7567 ,28 ,7941 ,101965 ,108949 ,0 ,380001 
2026년,01월,AAR,OZ,아시아나항공,국제,동남아,필리핀,MNL,출발,정기,여객,62 ,9576 ,57 ,7726 ,252372 ,86013 ,0 ,465495 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,JFK,도착,정기,여객,30 ,3888 ,14 ,4313 ,6549 ,3023 ,0 ,250100 
2026년,01월,AAR,OZ,아시아나항공,국제,미주,미국,JFK,출발,정기,여객,30 ,4522 ,5 ,4320 ,107887 ,62560 ,0 ,256879 
